time,Interest Rate,Real Wages,Adjusted Reserves,PPIC,GDP,private_consumption,government_expenditure,government_revenue,private_non_residential_investment,gdp_deflator,Population,real_GDP,real_private_consumption,real_government_expenditure,real_government_revenue,real_private_non_residential_investment
1964Q1,3.46,4.0007662152625345,2.3762072328646595,3.3877743613300146,13.414767284428395,12.898171777078568,11.93527391071223,11.59016424531103,11.143498125201317,2.7848260399042597,5.252032561344239,5.377908683179896,4.861313175830068,3.898415309463731,3.5533056440625312,3.1066395239528184
1964Q2,3.49,4.010238052925101,2.3843493947966854,3.3775875160230218,13.427896173427044,12.917884551319274,11.94674476657492,11.555956218385615,11.17147686677548,2.787107808338984,5.2552010754744085,5.385587289613651,4.875575667505882,3.904435882761528,3.5136473345722226,3.129167982962088
1964Q3,3.46,4.0210926338147654,2.4011626563550394,3.3877743613300146,13.447386031284282,12.939454448140935,11.957822802322108,11.602510194712316,11.203760955130969,2.791103756237496,5.25882781726156,5.3974544577852255,4.889522874641879,3.907891228823051,3.552578621213261,3.1538293816319127
1964Q4,3.58,4.023796911263136,2.4193898725361302,3.3945083935113587,13.454998260794287,12.945595172169968,11.958585170826447,11.61470557863168,11.229554088105532,2.7956336366573553,5.262368893771816,5.3969957303651155,4.887592641740796,3.9005826403972756,3.556703048202509,3.171551557676361
1965Q1,3.98,4.024887297206879,2.433262416635662,3.3945083935113587,13.48393232614137,12.970868168690725,11.964160307322581,11.663704753754304,11.292652788747702,2.8006293823953032,5.265106955290129,5.418195988455938,4.905131831005294,3.89842396963715,3.5979684160688725,3.22691645106227
1965Q2,4.08,4.025173103360802,2.4485883871138885,3.4307561839036995,13.501061422737411,12.986868916364068,11.981728373639445,11.674363810847758,11.331187737714638,2.805237406070875,5.267827230750001,5.427996785916535,4.913804279543192,3.9086637368185686,3.6012991740268827,3.258123100893761
1965Q3,4.08,4.03273508059041,2.4583059679908215,3.4468078929142076,13.526925411196938,13.00763467252712,12.024316928618633,11.653886687920869,11.370059209196285,2.809101445171938,5.271187661659246,5.446636304365755,4.927345565695936,3.9440278217874503,3.5735975810896856,3.2897701023651016
1965Q4,4.17,4.042208807801572,2.4747721353074024,3.4719664525503626,13.55655457868851,13.03840769067067,12.058842132685383,11.69902321629195,11.414706057463768,2.815947496412006,5.274429305219483,5.4661777770570215,4.948030889039181,3.9684653310538924,3.60864641466046,3.324329255832279
1966Q1,4.56,4.050166247109588,2.488400539042256,3.5085558999826545,13.587020238124726,13.060777293531347,12.084085786175702,11.770006567312135,11.455105655986136,2.8223308141345953,5.276904743904609,5.487784680085523,4.961541735492142,3.984850228136498,3.6707710092729307,3.355870097946932
1966Q2,4.91,4.057006076566733,2.503891949699081,3.4995332823830174,13.598573953637686,13.071467898614502,12.109886582251887,11.797728396671166,11.48063984834726,2.830503794186214,5.2795269268171445,5.488543232634327,4.961437177611143,3.999855861248528,3.6876976756678075,3.3706091273439003
1966Q3,5.41,4.062630271917708,2.5091926756681557,3.5085558999826545,13.61661805835214,13.090441244696034,12.151964867881944,11.823405673697987,11.496023426894872,2.840130541459418,5.282579168258457,5.493908348634266,4.96773153497816,4.029255158164069,3.700695963980113,3.3733137171769974
1966Q4,5.56,4.067812341923913,2.5082161925569575,3.4781584227982836,13.633151400463422,13.102283111570136,12.173657919016433,11.817376154997246,11.504520239826212,2.8484496214045523,5.28564237718177,5.499059401877099,4.968191112983814,4.0395659204301095,3.6832841564109238,3.3704282412398885
1967Q1,4.82,4.0786385324004835,2.5294018896745514,3.4531571205928664,13.646109175096395,13.11093229077325,12.218929639032682,11.805707012966709,11.492712553519015,2.8526121989591733,5.288100350137436,5.5053966259997855,4.970219741676641,4.078217089936072,3.664994463870099,3.352000004422405
1967Q2,3.99,4.088577967327764,2.546472005446155,3.4372078191851885,13.651794441535884,13.12925557157405,12.22494837279898,11.810077554923383,11.49574878684961,2.8576763750580225,5.29056237417497,5.503555692302892,4.981016822341059,4.076709623565988,3.661838805690391,3.347510037616618
1967Q3,3.89,4.092025207931524,2.569247798221751,3.4436180975461075,13.670754113803854,13.143570899726123,12.24711381602962,11.84058757759816,11.500701050347505,2.8672168513185636,5.293365124413968,5.510172138071323,4.9829889239935925,4.086531840297088,3.680005601865629,3.3401190746149743
1967Q4,4.17,4.0946778400122215,2.590467145448493,3.4436180975461075,13.68931107819873,13.158211100725493,12.270422086293177,11.871885795422639,11.53021513350719,2.8782991766618955,5.296175073476003,5.514836828060831,4.983736850587595,4.095947836155279,3.6974115452847407,3.3557408833692906
1968Q1,4.79,4.1113819318064015,2.6007619025384683,3.449987545831587,13.720526025131218,13.19244339107135,12.300241264911358,11.93126072949833,11.567243181179817,2.8893156448495008,5.298292366235532,5.532918014046186,5.004835379986319,4.112633253826326,3.743652718413298,3.3796351700947844
1968Q2,5.98,4.117833198291005,2.612860014098461,3.449987545831587,13.747599957753286,13.217699011430147,12.317779480634583,11.944435116926194,11.56455920140081,2.8998269166669197,5.3005748165892514,5.547198224497114,5.0172972781739755,4.11737774737841,3.7440333836700215,3.3641574681446382
1968Q3,5.95,4.120548227718737,2.6286461783149417,3.456316680883235,13.765085307769958,13.246564881661431,12.334333925474185,12.014815283078285,11.586259566334606,2.9095750771028164,5.303289982574557,5.552220248092585,5.033699821984058,4.121468865796811,3.801950223400912,3.3733945066572333
1968Q4,5.92,4.127892162375443,2.644755350729896,3.4781584227982836,13.783018357514017,13.262085318979466,12.351674026885606,12.040802877118438,11.627877831393329,2.923591595776309,5.305977949214648,5.553448812523061,5.03251577398851,4.122104481894649,3.811233332127482,3.398308286402373
1969Q1,6.57,4.129309437257958,2.654719745390559,3.481240089335692,13.808825261081832,13.28278861666152,12.361814915248873,12.109236802493342,11.661285123440093,2.9338568698359038,5.308044900306547,5.566923490939382,5.0408868465190695,4.1199131451064215,3.8673350323508906,3.419383353297642
1969Q2,8.33,4.129695618413899,2.6550712763113236,3.5234150143864045,13.824490120744851,13.301909419351334,12.37522030636334,12.117405352814007,11.681562142825745,2.9464895069755395,5.3103398065252545,5.5676608072440565,5.04508010585054,4.118390992862546,3.860576039313214,3.424732829324952
1969Q3,8.98,4.133661424599051,2.648229422783671,3.535145354171894,13.845026640846758,13.318959236531507,12.398901308842024,12.112684617208501,11.71511500640165,2.9604677244536797,5.313137011146315,5.571421905246763,5.045354500931511,4.1252965732420295,3.8390798816085057,3.4415102708016545
1969Q4,8.94,4.137467906604187,2.656265557952449,3.5553480614894135,13.852947951178129,13.338419471927912,12.400149833334982,12.106500898131964,11.722245915930957,2.973282144716399,5.316078696126679,5.5635871103350505,5.049058631084834,4.110788992491904,3.8171400572888867,3.4328850750878797
1970Q1,8.57,4.139413525589679,2.661238079316406,3.563882963939251,13.865442926712483,13.356146131156075,12.420736344307842,12.068705333737261,11.726390328532942,2.9872967947328894,5.3185414736365795,5.559604658343014,5.050307862786607,4.114898075938374,3.762867065367792,3.420552060163473
1970Q2,7.89,4.141164532865991,2.674217612565758,3.5610460826040513,13.880712921209907,13.371673576336509,12.42578230779008,12.011941630776722,11.736141013692563,3.001117745830329,5.321648076560197,5.5579470988193815,5.048907753945984,4.103016485399554,3.6891758083861954,3.4133751913020367
1970Q3,6.71,4.146921199439524,2.698471134655216,3.55820113047182,13.898066105808788,13.390070267673192,12.447386119454341,11.988519687685459,11.746058950313786,3.009289951486057,5.325051795650646,5.563724358672085,5.055728520536489,4.113044372317638,3.654177940548756,3.4117172031770835
1970Q4,5.57,4.142197779657487,2.7260865635883085,3.5553480614894135,13.900410373843714,13.400239023648172,12.463455291546007,11.962822045588313,11.724158365258603,3.0224228888070357,5.328507037711094,5.5494804473255845,5.049309097130042,4.112525365027878,3.6118921190701823,3.3732284387404734
1971Q1,3.86,4.154278749665138,2.753151028347306,3.5667118201397288,13.942280644386871,13.428650301281557,12.475737121569772,11.990754644568508,11.746256942671929,3.0374978227864586,5.331573209798896,5.573209611801516,5.0595792686962024,4.106666088984418,3.6216836119831535,3.377185910086573
1971Q2,4.57,4.159679641023363,2.7724012046594586,3.586292865338835,13.960710729806005,13.449109900801089,12.491695098421,11.975570838531445,11.771289431210851,3.0505518433180976,5.334466058179125,5.575692828308782,5.064091999303866,4.106677196923777,3.590552937034223,3.3862715297136288
1971Q3,5.48,4.163419652551212,2.7933712614223096,3.5779478934066544,13.979052713787395,13.466802366440154,12.505373211133834,11.993232085649357,11.784401933075076,3.060676962194373,5.337538079701318,5.580837671891704,5.068587324544463,4.107158169238143,3.595017043753665,3.386186891179385
1971Q4,4.75,4.162937353687712,2.805297896649486,3.6082115510464816,13.98971341377978,13.489418856674714,12.513803638474887,12.008097203495963,11.810887022018932,3.0689827352935835,5.340619864581915,5.580110813904282,5.079816256799216,4.104201038599388,3.598494603620464,3.401284422143434
1972Q1,3.55,4.1822791240565484,2.828969055675889,3.6375861597263857,14.02301972676739,13.512982832095988,12.550470533889888,12.116957238438978,11.853567567034384,3.084109384171404,5.343013447096889,5.595896895499097,5.085860000827695,4.123347702621594,3.6898344071706854,3.42644473576609
1972Q2,4.3,4.187516093109895,2.8516886779700137,3.66612246699132,14.051664308411677,13.537599262292998,12.565368152791487,12.153241326884189,11.877401898001038,3.090314916039939,5.345377463585437,5.615971928786302,5.101906882667622,4.129675773166112,3.7175489472588126,3.441709518375663
1972Q3,4.74,4.1927106739669675,2.871358818714234,3.696351468952637,14.070591439800891,13.561648744995164,12.557841574634477,12.163081633725078,11.89828990137139,3.099821982078372,5.347969064252757,5.6228003934697615,5.113857698664036,4.110050528303349,3.71529058739395,3.4504988550402613
1972Q4,5.15,4.201119077710809,2.8902050773390657,3.742420221041966,14.099865100323347,13.59299430985426,12.583649122550812,12.168059203331957,11.950967470008468,3.1124925641626904,5.350610910519139,5.636761625641517,5.129890835172432,4.120545647868982,3.704955728650128,3.487863995326639
1973Q1,6.54,4.2115348296335045,2.9232153427148138,3.8522730010223722,14.135773560454725,13.623147150129308,12.610106730212555,12.24435060674015,12.000511120546895,3.123949571354745,5.3527676723268085,5.659056316773173,5.146429906447754,4.133389486531002,3.767633363058598,3.5237938768653416
1973Q2,7.82,4.2047075446527185,2.9399552580849924,3.960813169597578,14.1618532071109,13.641784355050723,12.620527226976137,12.244615244200407,12.051072438289998,3.1392263731927206,5.354995387239894,5.667631446678286,5.147562594618108,4.126305466543521,3.7503934837677915,3.556850677857383
1973Q3,10.56,4.202316664716414,2.9658399156889543,4.0809215418899605,14.175865323048734,13.66338100095823,12.62540449773275,12.261185635583086,12.081880364470537,3.1584886748531056,5.357486812462338,5.659889835733291,5.147405513642788,4.109429010417307,3.7452101482676423,3.565904877155094
1973Q4,10.0,4.1973372768502655,2.9777210407521393,4.075841090657541,14.205042064434338,13.680706355661071,12.652657303884498,12.299257841882834,12.101500707751955,3.1782204831272667,5.359920333158505,5.666901248148566,5.142565539375299,4.114516487598725,3.761117025597062,3.5633598914661824
1974Q1,9.32,4.190427170899145,2.9943312926383627,4.147885329150131,14.215097758302976,13.70107341854894,12.690305803126341,12.310148836796396,12.11944664881748,3.196916473513774,5.3619679936243125,5.65621329116489,5.142188951410854,4.131421335988255,3.751264369658309,3.560562181679393
1974Q2,11.25,4.189669893426794,3.022714944883878,4.062165663857866,14.240814894005997,13.732587539508705,12.721757444359628,12.314949471715561,12.148538867132116,3.220274845781908,5.364114470338085,5.6564255778860035,5.148198223388713,4.137368128239636,3.730560155595568,3.5641495510121235
1974Q3,12.09,4.191077971179408,3.039653460611919,4.11414718951828,14.260213045753499,13.76345486776372,12.756243974637597,12.35798224458224,12.178110318244052,3.2491722190995507,5.366662695090969,5.64437813156298,5.147619953573201,4.140409060447077,3.74214733039172,3.5622754040535325
1974Q4,9.35,4.1878349053094395,3.0506938316279655,4.143134726391533,14.285313542082122,13.773728727949276,12.791712563374388,12.308651796777616,12.19384316939745,3.278163082223071,5.369241704884735,5.637908754974315,5.126323940841469,4.14430777626658,3.6612470096698098,3.546438382289644
1975Q1,6.3,4.196043382046935,3.0487515775296274,4.063885354737392,14.295536297665178,13.800589794953702,12.821631188056251,12.21972897197766,12.171160238284525,3.3006401266708405,5.371265738053303,5.6236304329410345,5.128683930229557,4.149725323332107,3.5478231072535156,3.499254373560381
1975Q2,5.42,4.205050764204679,3.058847907868066,4.1059436980654525,14.317408246052986,13.829001149346773,12.830426934605834,11.949940918388982,12.171874498150197,3.315385285248008,5.373665997337885,5.628356963467093,5.1399498667608805,4.14137565201994,3.2608896358030903,3.4828232155643035
1975Q3,6.16,4.202750436065887,3.0564039530867237,4.147885329150131,14.351898659780392,13.861622854129243,12.862021466600428,12.225007249143953,12.195047086826666,3.332882851478282,5.376615476372265,5.642400331929846,5.152124526278696,4.152523138749881,3.515508921293407,3.485548758976119
1975Q4,5.41,4.200759521758531,3.061520014091994,4.1666652238017265,14.381864167143853,13.888968247301378,12.88808556967358,12.24959179944367,12.220384737187917,3.3494829459754767,5.37919664727366,5.653184573894716,5.16028865405224,4.159405976424443,3.5209122061945326,3.49170514393878
1976Q1,4.83,4.208431888259868,3.0561686423578216,4.130354999745133,14.414614605676771,13.919787686970658,12.90244212889163,12.323709003763284,12.252498111240818,3.359993369738098,5.381343312246415,5.6732779236922575,5.178451004986145,4.161105446907117,3.5823723217787697,3.5111614292563047
1976Q2,5.2,4.2181243959036765,3.067959907550872,4.162003210695915,14.43195594378084,13.937321028163094,12.901679299105275,12.366621385478487,12.278430515719876,3.3700162641785805,5.383467011589718,5.678472668012542,5.183837752394795,4.148196023336977,3.6131381097101887,3.5249472399515778
